NIF;clave;nombre;direccion;latitud;longitud;frase
20159088K;8puvZjncp;Bron Slowgrave;30140 West Place;36.023563;-5.395401;Su matrimonio se realizara manana
50471069X;76eHntDfO3;Marilyn Kench;50 Buhler Circle;38.192025;-6.65805;Debo pedirle a alguien que arregle mi procesador de texto
12878673D;WFNReHczNL1U;Vanya Hebner;4112 Arrowood Crossing;37.751097;-8.768252;Ella esta trabajando en una agencia del gobierno no
68838144M;fFnPRBLo;Clemmy Cardall;69100 Melvin Road;42.3199;-6.164105;El le escribe una carta a su madre sin omision cada semana
81015346P;BbbBfDQMwV;Amara Fullick;829 Thompson Parkway;35.903896;-4.978201;El se ha ido camino a Canada
33445826E;DThSox2z;Marion Cheston;2 Brentwood Trail;36.761462;1.486929;Nuestra profesora es muy dura de cabeza o no
60812996U;qs4KqK3VB;Arlinda Qualtro;925 Hudson Plaza;40.886629;-2.515615;El sombrero de ella era muy raro
27103425R;QaWaWP;Aurel Brozek;5 Holmberg Alley;39.731958;-5.715955;Ella como suele suceder siempre ahora se encuentra ausente
87980984M;nxJblpt;Ivie Bracken;3 Arapahoe Circle;36.212107;0.660636;Es el tan tonto como para creer algo asi
43278048R;Tx4zffyhDH;Clarisse Brandacci;67 Chinook Road;36.003808;-6.135899;Ella dedica mucho tiempo a practicar el piano
22859884E;TWHatL;Madge Airdrie;46113 Arapahoe Road;38.531611;-5.501419;El parece estar malinterpretando
29905308V;aYmIXnSTTt;Sandy Balaison;43375 Maywood Point;42.020434;-5.1792;La audiencia fue profundamente conmovida
77353556F;HIyAoz8;Mack Brogiotti;5 Clemons Crossing;38.486782;2.252062;Es hora de cenar
42060229O;MMqxtY5oA;Devan Itchingham;96 Bayside Drive;41.144226;-6.553132;El rebosa en energia
11398625R;C8f7qkKI;Gloriana Cheetam;6 Reinke Parkway;43.124968;-7.363711;El juicio salio en contra del gobierno
21623619R;rD4byVu2zJ;Henderson Fulton;36 Carioca Street;38.31079;-4.170332;Ella tiene la cara redonda
19381507B;1BP33P;Sherwood Priddle;10 South Junction;42.237582;-5.728339;Las lagrimas rebosaban de sus ojos
43900502B;MqUvrv2bQDb;Harlen Huckerby;811 Mallard Court;41.581766;1.500979;Ya que he vivido en Tokio antes conozco bastante bien la ciudad
02845377D;IXSiin;Quintus Aubin;8456 Vera Point;37.558982;1.246162;Ellos lo dieron por muerto
91464188A;4q23eJQT;Clayborn Jackalin;12706 Ludington Crossing;40.159132;-5.889577;Ella era diferente de la mayoria de las mujeres de la vecindad esto porque ella sabia leer y escribir
62068560I;UOki6nHU0;Madlin Gager;92 Gina Crossing;38.787311;-9.165863;El no pudo contener su colera ni un segundo mas
24456828K;QAAg7zbi;Janessa Kenworthy;7 High Crossing Way;36.684808;-5.923449;El tambien habla frances
22675134R;qcf3gKkt9;Monique Collar;42 Summer Ridge Junction;40.047107;-1.93417;No debes creer lo que el te dice
96438297A;TeTJUZQIrN;Pancho Cotherill;66102 Michigan Circle;39.418052;1.711614;El es pobre
58610239B;LSHldUNBh9x;Peggy Hindge;75690 Lerdahl Road;37.347982;-3.891606;Antes de que llegase el anochecer la sombra de ese arbol habia alcanzado el muro
92570053T;ITOh28R51Qf;Wenona Aldis;5 Pond Place;41.924253;-4.741996;Yo esperare aqui hasta que el vuelva
31086612V;IweL7n7D1B;Eldredge Ossenna;4141 East Hill;42.925971;-5.823901;El se fue a quedar a la casa de su cliente
05776052X;IojY69;Branden Rivlin;63847 Briar Crest Drive;36.490131;-3.548622;El fue envuelto en ese lio
64819220N;U8EbuqFZ;Kimball Kenworthey;125 Artisan Pass;40.499397;1.109185;Si tuviera que opinar diria que el es una persona muy activa
62285756P;aLME3UU;Caralie Baggelley;44740 Oakridge Place;37.414993;-7.226938;Por su enfermedad tuvo que inevitablemente dejar el colegio
59015096U;Q6piOszyS;Eolanda Manuelli;0 Declaration Pass;39.746533;-0.851238;Las aves volaban haciendo formaciones
27324814L;IkmSAg;Rand Duchenne;7 Drewry Point;42.713352;1.348235;Que ha sido de su hijo
92662098P;FbUngJ;Kelila Panton;66189 Pankratz Lane;36.220727;-6.34409;El se quedo en la casa de su tia
19806354E;zESVCrpWu7i;Davy Paris;4 Bayside Road;37.576792;-8.5223;Por favor ven a verme manana
53057858V;DJ16kgQ79S;Erhard Drayn;924 Portage Circle;38.380824;-7.621032;Probablemente ella no olvidara haber escuchado esa triste cancion
36129757I;clP2VdMMyiLm;Goldy Barreau;49196 Holy Cross Circle;36.539401;-1.34444;El no se ha abierto en lo absoluto con sus colegas
51472671F;BhpkZq;Constantine Sainter;367 Meadow Ridge Way;38.444633;-0.981515;El ha estado aumentando de peso ultimamente
66704086S;px4iEf;Hi Alsford;7674 Butterfield Drive;40.305922;1.116941;Me gustaria poder hablar un poco
75237452X;aGsk4j9eEuf0;Ekaterina Stoacley;313 Clyde Gallagher Trail;41.194025;1.105155;Ella es una persona obstinada
44805300R;gAKZMasjbL6;Cordy Lerner;963 Golf View Drive;40.180428;-8.540937;El estaba enojado con su hija
46567684P;w9PXLyJ;Biddie Bloxam;976 Sachtjen Lane;39.605207;0.5029;Al parecer Jack esta enfermo
45762408R;lDe30Sam;Imelda Swane;77 Golden Leaf Parkway;38.071948;-3.52786;Paso una semana antes que Jane se mejorara de su resfrio
98058985P;nQMZn5H;Sargent Worthington;552 Russell Point;41.841866;-3.633287;Lo llevaremos a su asiento pronto
40166103V;jaBHsWtuI4S;Casper Yakovlev;17 Old Gate Junction;40.86046;1.38944;La compania abandono ese proyecto
66886403U;cT3oHMK;Liv MacCaughan;07275 Lyons Junction;36.763315;-5.24204;Como haces para entibiar la casa
40716213Z;sQ2RQss;Hillary Debrick;6 Longview Parkway;38.197167;-8.404272;Vimos la colina aparecer
20262867V;muDRnAmWT9;Mikel Bollis;77094 Rowland Trail;38.259386;0.906065;Bob me ayudo
68281073O;SmIyZK;Krisha Chopy;03605 Summit Court;38.148015;-4.956127;Esa responsabilidad es una carga para el
71508008L;hdMa1xm;Reagen Omand;92355 Westridge Junction;42.922959;-5.744851;Puedes seguir el camino que desees
89175997P;OsCR29H2Lh;Edwin Melpuss;95126 Oneill Junction;41.427823;-3.718603;Al parecer su proposito de estudiar en el extranjero es desarrollar su capacidad para hablar el ingles
63960869U;ZIrGcf4spf;Hugues Macellar;6 International Way;41.039156;-3.279108;El pobre joven finalmente se convirtio en un gran artista
48048944R;fkk51Uh;Meris Mattosoff;1243 Southridge Park;41.494087;-1.466389;Da igual si te gusta o no
47133915K;I7MBr6QOW;Cecile Amy;7 Harbort Alley;41.443064;1.909857;El clima de Londres es distinto al de Tokio
95750989T;AQls0B;Codee Kivits;6 Service Point;40.855622;2.748893;Nos vemos a la proxima
43699764M;luAEEu4;Karlotte Sellstrom;60779 Quincy Terrace;36.029147;0.767446;La torta es deliciosa
81086963N;Pmo2jP;Pavlov Hamblington;73 Petterle Alley;36.520729;-2.775357;Que significa PTA
71228470Z;t5Vp3Gz;Emmeline Dayborne;1091 Eagle Crest Crossing;35.870081;-0.782815;Hablemos esto con una taza de te te parece
52005928G;VNvO0P95;Waring Howton;43080 Delladonna Drive;38.44102;2.98486;Me alegra que hayas podido venir a la fiesta
91636568D;g5jcfz;Syd Yushin;799 Pine View Trail;39.58845;2.409332;Hay algun zoologico en el parque
08611225M;TsCcHesjkN;Tybalt Jacquemard;34 Glendale Junction;36.741793;-0.625471;La tarea me tomo mas tiempo del que esperaba
74402934P;lg2F6ta;Denise Oatley;45 Hoepker Junction;38.294791;1.988467;Mejorara por su cuenta en dos semanas
47731078V;mbcCUYjsUC;Meredeth Carlett;3698 American Center;41.208819;2.651059;Mientras mas libros leas mas sabras
25391834X;qJwnBZG;Doroteya Ivankovic;3 Acker Crossing;38.684413;-0.729504;No fue sino hasta que llegue a casa que me di cuenta que me faltaba la cartera
28227278R;ml8w3Ea5bz;Joete Bellie;840 Sugar Parkway;42.988369;-7.425389;De donde sale
35411178C;wHTRPZwD;Candie Kira;392 Kipling Trail;41.164244;3.5875;El rumor resulto ser falso
71824310Z;kDawl8eWQj;Reider Petyankin;43364 Swallow Center;38.070831;0.61038;Esto es lo que quiero
53735374B;Pr0YpGo0mnS;Gasparo Draisey;9512 Waubesa Place;39.444347;-5.401791;Estoy transpirando a mares
31042019Z;c0wmglOF8nuh;Karita OLooney;8 Lindbergh Trail;38.330262;2.189239;Toma cualquier tren de la pista 5
46728087H;15vzm9;Elna Gronou;2093 Cardinal Pass;41.550947;-8.915652;Jim la acompano en el piano
12112391F;KkanWe;Matthaeus Eeles;24202 Pepper Wood Terrace;41.553653;-5.844972;A Beth su flojo novio le pidio hacer su tarea de historia
63443790E;ifbiviN9;Howie Leake;0 Dixon Trail;42.26816;-1.829422;Nos sorprendio escuchar lo que habia pasado
09795385G;Bn46YsZXA;Silvano Jepensen;6 Division Court;37.038727;-0.464157;Toma cuanto quieras
55919297D;2QpQnLNhNVoc;Caldwell Ravelus;29511 Nancy Street;40.602714;1.357512;No se rian de el por cometer un error
74505492L;IazRMkUBsdvl;Armin De Cruz;46952 Columbus Avenue;36.1462;-2.178127;Se basa en la suposicion
06969393O;42uCVDzHMM;Jada Jacombs;4 Northfield Plaza;37.501043;0.583765;Cuando volviste de tu viaje
53266313M;qZlVdtHnO;Clemmy Cregeen;35 Texas Alley;37.637435;0.839711;El bebe se quedo dormido en la cuna
39731597W;ljD1kx4;Hyacinthia Cattlemull;09 Dwight Road;39.032946;-5.746617;No debes comer tanto
04835421J;vcY6YlL7;Elenore Hodgin;90578 Upham Lane;39.752575;-8.519275;Termino en nada
75377607H;qoX4bVzs;Donella Wardlaw;7 Dottie Court;36.045253;-5.655535;Ya eres lo suficientemente adulto como saber lo que haces
69330011Q;wMIW0Cw5yMT;Jodi Heningam;1 Burning Wood Way;43.013978;-2.22123;Tom se veia preocupado por el resultado de una prueba de ingles
31441396Y;UHBEWK8olg;Nate Bischof;0063 Judy Junction;36.549685;0.439935;Sabes como usar una computadora
61753530X;Xjj31A;Matelda Iddiens;6 Gina Court;42.196494;-7.238828;El incendio se inicio despues que los trabajadores se habian ido a casa
48536092A;fc3QymQ7iO;Lovell Needs;50 Shopko Place;40.043941;-7.231778;El neumatico tiene una fuga de aire
92286016P;T7OLdq;Analise Alstead;835 Westridge Junction;38.374703;-7.14228;El clima cambia seguido en Inglaterra
84836685I;4fCkcsUw;Rochell Foucar;81338 Vermont Terrace;37.566925;-4.2786;Esa es la idea
67910603L;2gSIaP;Randi Delacour;5086 Straubel Junction;38.372619;-0.7703;Hay un gato bajo el escritorio
93040268Z;vGYKlRc;Rhonda Pikhno;70 Farwell Court;38.377984;0.823304;Dices una cosa y despues haces otra
60959907H;ryFGo0BFr9l;Cariotta Lippingwell;4428 Susan Way;41.872829;-2.921913;Ya basta con eso
90662593L;Mo7yd0NYO18;Brockie Rosencrantz;9 Kingsford Point;37.767197;1.149696;El ingeniero nos dijo como usar la maquina
07284939N;gq33sHNF;Noble Cregeen;4966 Jay Park;42.19854;-5.557274;Lo hablare con Marty y vere que piensa el
18021253P;EwQjtldvbO3;Catlin Wattisham;56221 Stone Corner Avenue;39.503253;-4.349852;Se que habia una gran iglesia ahi
28178936P;T8u88ibD;Enrique Miranda;9492 Fieldstone Hill;40.924238;-3.805163;El jarron se quebro en pedazos
67984370L;KFFP7NIFVicQ;Guthrie Coaten;86712 East Hill;42.001258;3.116571;Por que pintaste la banca de rojo
04448625Y;Cxas4AN9PV4;Nadeen Ogelbe;68420 Hallows Point;36.031429;-7.114847;El ano pasado nevo bastante
94214922T;RfGVv6bzq;Sholom Staveley;74 Blaine Avenue;37.503102;2.738302;Me sorprendieron las noticias inesperadas
28366376T;asdKEswOA2GG;Miof mela Caulkett;784 Lakewood Plaza;36.435351;1.230336;Por favor toma un descanso por unos dias
36288740S;gw4XPKc;Ric Frankish;97788 Debs Place;39.951565;-5.563232;Este texto esta escrito en ingles simple
33481268D;6Mk25LYBJt;Nata Tombleson;94 Oak Junction;41.667011;-6.28259;Te llevas bien con tu jefe
45218594D;5ICnFw64Jdjd;Gaelan Shimmings;41 6th Point;38.684528;-7.253774;El estadio estaba repleto de fans de beisbol
17386016G;GgVjjm8z;Darrick Dounbare;05642 Lawn Center;41.286826;2.888231;Por muy muy extrano que sea el no sabia la noticia
44446785C;jyGoNWB;Alfreda Regglar;7223 Maywood Drive;38.187704;1.97545;Tiene sentido que pagues el balance de tu tarjeta de credito todos los meses
09856060G;8KJfnxc5g;Jacinta Larsen;99 Emmet Park;41.686136;-8.487626;Ademas de ingles el puede hablar frances
57552947H;OXpZrXngSYSH;Margette Bethel;8 Independence Street;40.889521;-7.422256;Despues de eso no supimos nada mas de el
36616967V;oM0grZ0XmCb;Drona Sellens;29433 Mosinee Street;36.805245;-6.73228;Esperabamos terminar el trabajo antes de las fiestas
18984255P;rvaE1Xmqx;Kandace Grigs;661 Dapin Center;41.711135;0.158196;Y asi fue como se salvo del peligro
55982254I;go0R4B;Maryanna Meade;730 Mesta Parkway;37.254566;-7.684819;El sol de verano pegaba en nuestra frente
96036490I;DGW1T8;Wolfy Raffels;0 Kinsman Place;37.301171;-8.698141;La mejor forma de saber como es un pais es ir y verlo con tus propios ojos
54149115F;AJKidM3zO1;Jesus Woolnough;02 Hoepker Avenue;40.936955;-6.590084;No creo que John este capacitado para ese trabajo
82907323F;zgd9eJv5;Trix Valdes;1 Swallow Alley;42.881589;1.557989;Me es indiferente si Fred vino a la fiesta o no
70707263B;L55Z249ZsFVc;Debora Wicklin;45070 Commercial Place;41.50316;-8.55749;Gustaria usted servirse una taza de te conmigo
23714413W;LOUy1UjcuCy;Devy Konzel;062 Atwood Court;36.904044;3.138736;Nick es muy bueno hablando el portugues Eso es porque lo ha estudiado por 5 anos
07299440S;IVAc0EBZaT5;Edna Danhel;630 Elka Terrace;36.331434;-8.496766;El acusado debe aparecer ante la corte el dia viernes
38008176D;4fKFSpAy;Sylas Abreheart;633 Burning Wood Hill;40.436507;-7.864485;El tren deberia llegar a la estacion antes del mediodia
27815757Z;15u3WSn;Terza Eppson;30076 Saint Paul Hill;39.069267;3.9014;Lo necesito antes de manana
94483487I;mZozkm;Ephraim Bewlay;8632 Messerschmidt Place;36.357822;-0.59211;Como fueron a la misma universidad terminaron siendo mas cercanos
16071275Q;ijsM3WBnW;Maddi Bramah;579 Golf Course Trail;41.66235;0.939426;Es un reportero de la revista Time
21827016E;zUlfM4DHaIA;Andee Antognetti;1854 Dawn Circle;39.101374;-4.216728;Mi padre atrapo tres peces ayer
29766638X;dN8LDi;Jeth Blest;54900 Basil Parkway;40.516478;-4.832825;Esta totalmente sumergido en su vida familiar y no tiene deseos de trabajar
39372737V;zFpOzFWJr9;Corey Cosford;719 Rutledge Drive;42.838215;-6.224955;El pueblo fue destruido por la inundacion que vino despues de la tormenta
98249066L;VniaBcJhw;Terry Ferras;7 Merchant Hill;41.064388;-1.479496;Ojala el me escribiese mas seguido
16282845N;YCDY7vV;Gerome Snalum;333 Talmadge Hill;41.392556;-8.12122;Se dice que el probablemente ya no volvera
40844746V;hJYZGRpo7Ur;Emelita Worpole;530 Farragut Hill;36.314797;-1.589307;El viento volo el techo de nuestra casa
81473301Z;a1KOuXa;Jacynth Gilsthorpe;5597 Iowa Center;41.868304;0.870344;Me gustaria hacer una llamada a Tokio Japon El numero es 32025625
54614835K;SVIgYq;Fletcher Spread;418 Mccormick Crossing;36.497722;-4.44425;Han pasado dos meses desde que se fue a Francia
74904377L;Z37zdhblV8;Blondelle Rouzet;14804 Village Parkway;37.659383;3.183549;Mis padres fueron a dejar a mi tio al aeropuerto
97441183I;PC2gqWAWou5r;Lavinia Baise;7 Old Shore Way;42.053789;-3.476719;Generalmente vamos al colegio a pie
11622571X;9UkCT7L3y;Faina MacDwyer;243 Muir Place;43.02363;-1.975892;No se levanta temprano
83959950A;2sU7I5tB1;Lannie OConnel;539 Lake View Pass;37.906153;-1.330355;Es dificil mantener el balance en las calles cubiertas de hielo
59537570U;l6PVsv;Lanette Napoleon;624 Rigney Place;39.296388;-1.3773;Este libro es facil de leer
22716257V;95dkiTUGb7;Ferdy McDyer;90557 Del Mar Street;35.867488;-5.878889;El sombrero es muy pequeno para mi
52500033C;OqRZHKsjJ;Sax Sterricker;9739 Hovde Court;41.985339;-1.741088;Este libro es lo suficientemente facil como para que ellos lo lean
07895562O;yac5ufig4;Valaria Schwandner;29007 Jenna Road;37.488586;-1.666009;Por favor rellene este formulario
61185066A;735Ob2j;Helyn Honisch;3 Dayton Way;38.964943;-3.133809;Descubrimos la contrasena con facilidad
08526814J;aWF9XbDGS5iM;Kalvin Shillitoe;85 Dennis Park;42.699011;-9.105361;En agosto no hay clases
11246139F;ilu1uYUG4;Minnie Kreuzer;9505 Stoughton Terrace;42.93445;-1.33883;Un nuevo equipo fue formado para participar en la carrera de lanchas
07483123L;8UfGZPb5;Jillian Hevner;36 Memorial Court;38.474662;-2.9999;Tienes camara fotografica
16417762F;PYpjhYAgbw;Minnaminnie Hamlet;206 Laurel Alley;42.743162;0.848351;Ojala pudieramos irnos de este horrible lugar
68152640T;r9JjiF;Homere Colquite;59682 Rieder Point;36.769641;1.613385;Puedes conseguirlo en cualquier libreria
53092544O;x8GD6O;Willabella Reinhardt;5283 Mockingbird Center;42.716962;-1.612969;La imagen se ve mejor de lejos
42019251S;wbGS3A;Florenza Roistone;2177 Fordem Pass;40.297159;-3.560972;Que tengas un buen dia
60089356K;Jzvk5euUG;Gustavo Mobley;6 Dottie Junction;39.527018;1.123019;Donde viste a Nancy
79207273S;G1rOEk;Kaile Flaxman;27776 Bonner Street;39.087836;-0.89802;Es necesario que vayas inmediatamente
06984709R;AZqixxc;Lucien Naris;470 Knutson Point;43.004436;3.180263;Gran venta de inauguracion
59874189C;dAf7qB4PyoSY;Elspeth Marmon;05 Shopko Drive;39.442205;-0.169606;Puede o no ser cierto
98316915Z;8GgfEjbGmYSd;Angel Bachnic;956 Prentice Street;41.491789;-3.79538;Habian 10 policias en el lugar
43056350F;0tcdqPsR;Lorinda Pollock;5 Vernon Street;40.627079;-6.532919;Hubo mucha nieve el invierno anterior
28629722N;KwWbxLP39af5;Fleur Mattack;00 Northfield Way;40.02212;3.188711;De 50 postulantes hubo 20 rechazados
26038045L;QCNwf0;Harmonia Cops;9806 Petterle Place;40.451357;-6.601713;Estos calculos no calzan
94157485O;mE9t2hG6HhAQ;Andrea Episcopio;90785 Ridge Oak Avenue;42.420469;2.974884;Bueno Que te vaya bien
13395905V;reuvt9qJ2lCB;Bobinette Snowding;5344 Manitowish Street;42.833102;1.889656;La senorita se veia triste y cansada
53025833M;rzHvZc5Kq;Carmon Gowdy;56620 Morningstar Court;39.552986;-6.890119;Las motos pueden ser peligrosas de conducir para la gente joven
44136239E;bdMa3DrIx;Emera Presnell;04 Sherman Way;36.368635;-2.216534;Desearia llevar unas botas
79497922G;ZOprM8JpruA;Tildi Nowaczyk;69 Iowa Park;38.818038;-2.30661;Cual sombrero es tuyo
38569331E;tjs4CC;Brodie Stile;800 Armistice Terrace;42.362078;0.493727;Tiene cara de lluvia
57439927Z;OlPEjs4Kdl;Beverley ODowling;73 Dexter Plaza;43.086451;-1.651637;No quiero que haya malentendidos
99984624H;NqGF6oDw;Bink Savile;99019 Everett Lane;38.281493;-1.508063;Cuando entre a la casa me tropece con la alfombra
52040300N;QBc5Je46I;Brigham Skipton;8374 Monica Avenue;38.386654;-2.38164;Estoy bastante complacido contigo
25726447G;xR0wmlR;Darlene Walkington;2 Pennsylvania Court;40.624584;-3.182289;El vecindario entero se sorprendio por la noticia
88570915S;Z0m8LAFN6s;Dannie Gawen;4 Jackson Parkway;41.710412;2.686339;Algunas personas solo persiguen el placer
44353246Y;1XfWC6cDbhFP;Warner Ouver;3 Lien Point;42.886921;-7.787686;Eso es un lapiz
96965131D;E0luDNJ;Crawford Borless;694 Pepper Wood Park;41.540556;-3.498529;Picasso es un artista famoso que todos conocen
97563718H;3ut9JN6fSu;Beth Picheford;6 Golden Leaf Park;42.05751;-4.547483;La palabra no aparece en mi diccionario
14953280H;9Rhxcf;Cherise Winspur;490 Mcbride Crossing;41.383767;-7.542821;Espero no estar interrumpiendo
45053112I;FuoNoU7eaoN;Skelly Swatheridge;120 Hazelcrest Drive;36.247935;-4.952178;Se necesitaban nada menos que trescientos dolares para ese trabajo
67308726U;JdS9Kbd1zccG;Gloriane Kettles;7452 Manitowish Trail;42.743267;0.667466;Por que viniste a Japon
53620095N;qbsHxQkgbF6;Suzy Vasyutin;6495 Rutledge Lane;36.523751;-0.831957;Vayamos a ver cuanta cosa podamos
03033056A;lO6gCZhu;Floyd Defont;24 Hallows Crossing;41.387055;-3.976579;Ted finalmente logro comunicar sus pensamientos en japones
73274745E;hvgv4ON;Tymon Silman;264 Dayton Court;37.472662;-1.21559;El ingles se ha convertido en un idioma internacional
37926550C;k2IIkdGhwA;Annabella Soldan;07 Blackbird Pass;41.04913;-4.710915;Aceptamos con gusto su propuesta
61928796H;FnCltZehZ;Hillery Stooders;771 Fallview Court;37.156357;-3.447881;Ida y vuelta o solo ida
83395488E;lpba0T92H9N8;Nedi Miklem;34 Columbus Center;37.73075;0.49951;Saber un idioma es una cosa ensenarlo es otra
35110518M;FAFi3FQ;Adrian Elbourne;31 Vahlen Crossing;39.769503;-8.428218;Ya es hora de que vayas a la cama Apaga la radio
04232592G;eGVFpRMjsTQ;Cordelie Grastye;0 Mockingbird Circle;36.269868;1.142812;Que piensas de ello
08733681N;47Gzx3;Silva Fairfoul;530 Heath Circle;39.432949;2.524438;El cuchillo es bastante afilado
84486324G;FKsS3TgeSxv;Hector Dobing;1491 Rusk Alley;36.274217;-5.6553;El demonio destruyo Hiroshima y Nagasaki
25635046O;LIZvwEni9;Tine Patry;241 Chive Crossing;41.476731;-6.132822;El hombre que esta alla leyendo un diario es mi tio
18258201S;1yEC1O;Barbe Stoyles;41 Judy Hill;40.884058;2.699889;Muchas gracias por haberme invitado a cenar la otra noche
27700329Q;ccxG49fJTHo;Tobit Gersam;075 Graedel Parkway;43.158958;-4.788111;Si ya terminaste ese libro podrias prestarmelo
85081669L;RQnVRkJ;Laryssa Maplethorp;95 Claremont Road;39.940386;3.60274;Mike es el unico hombre del comite
97700537D;w5OnEU;Brenda MacIlriach;009 Utah Hill;43.036311;-0.841837;Lo convenci para que abandonara la idea
91287092K;szOUJfVesER;Bertina Gislebert;5493 Dixon Parkway;35.967818;-0.927952;No se levanto temprano
30999917W;P4gO8MA83kXp;Alvinia Andrejs;35 Sommers Parkway;36.474846;-2.384329;Este tipo de revistas puede causarle un dano a la gente joven
46882091A;tPbK0eC;Kikelia Caldeiro;105 Amoth Avenue;42.921514;-3.36376;En esta ideologia esta escrito mi discurso
62514484L;XMmmd0RTO;Cal Petras;48621 Bonner Road;43.270192;-0.10876;Donde crees que pasaras tus vacaciones
00286151B;V0FHNQ8DF6k;Anica Waren;62 Dixon Place;38.285182;-4.255734;En una manana lluviosa salio de casa temprano para llegar a tiempo al colegio
22965971K;VS1GPfJXHlms;Bessy Ackenhead;350 Loomis Terrace;42.830007;3.157963;Debemos estar siempre preparados para los desastres
51398746Z;0rzGyQMD;Kati Syplus;152 Luster Circle;36.996926;0.539195;Bajen sus armas
97021183V;wGZrpLYwtaR;Onida Cragell;71951 Gulseth Avenue;40.542894;-8.315676;No paso mucho antes que nos encontraramos otra vez
43607488X;lyO1wCK;Orelia Edgar;86010 Tony Avenue;40.16983;-3.605859;Apurate o perderas el tren
57470180R;FDwmluRI;Arleta Swepson;7 Forest Lane;37.457065;-0.183256;El dijo La administracion japonesa debe aprender como tratar con los trabajadores americanos
50917738Q;9Cknlcn4097;Milzie Shere;980 Lakeland Street;36.935277;-8.437014;Espero te mejores pronto
11549252O;ETvpcuhfN;Jacquenetta Finessy;0262 Loeprich Junction;38.839322;-2.715859;El hombre ahogandose agarro fuerte la cuerda
36088664F;1UTmUAhNdO;Glynn Kinch;1046 Buena Vista Plaza;37.479;-5.545494;Los plasticos han reemplazado a muchos materiales convencionales
79126329U;xajmWkMhEW0;Marchall Randalson;9736 Schmedeman Center;37.968452;-0.882826;Pase dias sin hacer nada en las vacaciones
75317380O;hRTB7ncY;Corena Obispo;3 Arrowood Lane;37.520817;-7.139537;El pueblo estaba lleno de actividad
39802464T;97TvVCoUjHz;Kayley Keig;723 Trailsway Hill;38.418812;-6.812246;Esta medicina te hara bien
46584640R;vhLuxkRjdUS6;Nady Leisk;0 Twin Pines Alley;36.865297;-7.672112;La recesion es un periodo de disminucion temporal de la actividad economica en medio de un periodo en cual actividad generalmente esta aumentando
93135202Q;MfL479H;Bartolemo Rops;70 Lake View Street;38.588443;-8.56549;Danos las herramientas y terminaremos el trabajo
90381719O;NViYB9O2iA;Bebe Yakebovitch;77966 Pepper Wood Plaza;38.790203;-7.200871;Que deberian hacer en esta situacion
04084899Z;On6zIRSD0;Britni Skitteral;15 Redwing Center;36.99716;1.484543;Haz lo que el doctor te dijo
91050444T;KkJsV8O4VVY0;Lexine Bulfoy;33 Annamark Street;39.154984;-8.59436;Te gustaria bailar conmigo
28099846T;4ROClIE;Reeba Shercliff;41663 Merrick Point;37.093661;-5.154162;Que hora tienes tu
09111424Z;KZPN61N;Douglass Jinda;9171 Sherman Street;40.909556;-8.592789;Hablas tan bajo que no puedo entender lo que dices
97837875L;JqTbg4k;Sallyann Eddis;5513 Grim Drive;39.633925;-2.649629;Este problema es demasiado complicado como para que lo resuelvan estudiantes de primaria
46283870J;tz44EZsH;Prissie Ellingham;7496 Harper Court;41.912062;-0.365083;Solo aceptaremos bajo esa condicion
58271518D;tzcYDQnXUWO;Sean Dumbar;31 Mandrake Street;42.467443;2.77316;En lo que sea que hagas debes esforzarte al maximo
89866294F;Gfi9gCQGP;Berne Rijkeseis;6401 Bayside Parkway;37.883864;-5.584097;El joven estiro su mano y yo la estreche
79810569K;tQGbjLJ480xQ;Daile Rivenzon;12 Kim Park;40.321359;1.479678;El doctor le recomendo descansar
95855108N;btyXBf9z29W;Morty Aldins;174 Utah Junction;39.460428;-6.491838;Seria posible hacer una reservacion para jugar golf
79432054X;ZmTM3c9jGkm;Celestia Giffen;4762 Buell Drive;42.003256;0.756378;Se esconde un bello valle tras esa colina
64199522N;yxQGWwopIDN;Bart Murty;61 Darwin Court;41.142426;-5.879378;El cielo tiene cara de lluvia
41394412H;nrfcSP7T7;Patrick Pellitt;89578 Jenna Way;36.407664;1.609034;Ambos equipos compitieron fuertemente
07841409Z;VkZ69Gk4A61;Malachi Hawkswood;277 Walton Center;37.520611;0.504064;Hay una masa de nubes negras en el cielo
25603145B;lbAZXLo0u;Annice Burrage;86191 North Alley;41.761285;-3.767351;Podrias dejar de hablar
50767230B;9KSWXoU;Sutton Siggery;01701 Loftsgordon Point;39.984926;-8.347822;El bebe todavia no puede usar una cuchara
11345040V;tcAnE83x;Elden Issakov;4769 Fremont Avenue;42.554171;-9.198719;Creo que tengo diarrea
13138310D;VpQN8ozBnZPC;Elysha Gainfort;1222 Arrowood Hill;42.217089;-5.995178;Te recuperaras pronto
90333358R;jR1tZUlzknU;Nichole Turford;5710 Macpherson Way;36.90587;-2.128812;Admito que esta probablemente no es la mejor forma de hacerlo
10780965D;7HD8ivwuefeQ;Shaun Rentoul;90900 Hauk Court;37.326337;-7.176147;Debido a ciertas causas desventajosas existe un aumento de familias donde solo existe un padre
42117433H;6drU7UqSEF;Francine Milmore;2 Anniversary Pass;43.15162;-1.6276;Ella fue a su cuarto a cambiarse de ropa
77034480Q;nT5EalzA;Goran Hairs;18 Nova Circle;36.93769;-6.51208;Se derramo toda la leche
76364177E;vpWJerWWZaY;Karlan Eyree;4 Pennsylvania Place;41.802409;0.754319;El vive en paz
